YearLevel,Course,Semester,CourseCode,CourseTitle,Units,Prerequisite,Grade
1,BSIT,1st Semester,IT 111,Introduction to Computing,2,,86
1,BSIT,1st Semester,IT 111L,Introduction to Computing (Lab),1,,86
1,BSIT,1st Semester,IT 112,Computer Programming 1,2,,86
1,BSIT,1st Semester,IT 112L,Computer Programming 1 (Lab),1,,86
1,BSIT,1st Semester,IT 113,Discrete Mathematics,3,,97
1,BSIT,1st Semester,GART,Art Appreciation,3,,96
1,BSIT,1st Semester,GSELF,Understanding the Self,3,,94
1,BSIT,1st Semester,GHIST,Readings in Philippine History,3,,90
1,BSIT,1st Semester,FIT HW,Physical Activity Towards Health and Fitness (Health and Wellness),2,,93
1,BSIT,1st Semester,CFE 101,God’s Journey with His People,3,,90
1,BSIT,2nd Semester,IT 121,Information System Fundamentals,3,IT 111,Not yet taken
1,BSIT,2nd Semester,IT 122,Computer Programming 2,2,IT 112,Not yet taken
1,BSIT,2nd Semester,IT 122L,Computer Programming 2 (Lab),1,IT 112,Not yet taken
1,BSIT,2nd Semester,IT 123,Platform Technologies,2,IT 111,Not yet taken
1,BSIT,2nd Semester,IT 123L,Platform Technologies (Lab),1,IT 111,Not yet taken
1,BSIT,2nd Semester,GMATH,Mathematics in the Modern World,3,,Not yet taken
1,BSIT,2nd Semester,GPCOM,Purposive Communication,3,,Not yet taken
1,BSIT,2nd Semester,GCWORLD,The Contemporary World,3,,Not yet taken
1,BSIT,2nd Semester,FIT CS,Physical Activity Towards Health and Fitness (Combative Sports),2,,Not yet taken
1,BSIT,2nd Semester,CFE 102,Christian Morality in Our Times,3,,Not yet taken
1,BSIT,Short Term,IT 131,Computer Architecture,2,IT 112,Not yet taken
1,BSIT,Short Term,IT 131L,Computer Architecture (Lab),1,IT 112,Not yet taken
1,BSIT,Short Term,GRIZAL,The Life and Works of Rizal,3,,Not yet taken
1,BSCS,1st Semester,CS 111,Introduction to Computing,2,,Not yet taken
1,BSCS,1st Semester,CS 111L,Introduction to Computing (Lab),1,,Not yet taken
1,BSCS,1st Semester,CS 112,Computer Programming 1,2,,Not yet taken
1,BSCS,1st Semester,CS 112L,Computer Programming 1 (Lab),1,,Not yet taken
1,BSCS,1st Semester,CS 113,Discrete Structures,3,,Not yet taken
1,BSCS,1st Semester,GMAT,Mathematics in the Modern World,3,,Not yet taken
1,BSCS,1st Semester,GART,Art Appreciation,3,,Not yet taken
1,BSCS,1st Semester,GHIST,Readings in Philippine History,3,,Not yet taken
1,BSCS,1st Semester,FIT HW,Physical Activity Towards Health and Fitness,2,,Not yet taken
1,BSCS,1st Semester,CFE 101,God's Journey with His People,3,,Not yet taken
1,BSCS,2nd Semester,CS 121,Digital Logic Design,3,CS 111,Not yet taken
1,BSCS,2nd Semester,CS 122,Computer Programming 2,2,CS 112,Not yet taken
1,BSCS,2nd Semester,CS 122L,Computer Programming 2 (Lab),1,CS 112,Not yet taken
1,BSCS,2nd Semester,CS 123,Architecture and Organization,2,CS 112,Not yet taken
1,BSCS,2nd Semester,CS 123L,Architecture and Organization (Lab),1,CS 112,Not yet taken
1,BSCS,2nd Semester,GSELF,Understanding the Self,3,,Not yet taken
1,BSCS,2nd Semester,GPCOM,Purposive Communication,3,,Not yet taken
1,BSCS,2nd Semester,GENVI,Environmental Science,3,,Not yet taken
1,BSCS,2nd Semester,FIT CS,Physical Activity Towards Health and Fitness (Combative Sports),2,,Not yet taken
1,BSCS,2nd Semester,CFE 102,Christian Morality in Our Times,3,,Not yet taken
1,BSCS,Short Term,CS 131,Software Modeling and Analysis,3,CS 111,Not yet taken
1,BSCS,Short Term,CS 132,Mathematics for Computer Science,3,,Not yet taken
2,BSIT,1st Semester,IT 211,Requirements Analysis and Modeling,3,IT 121,Not yet taken
2,BSIT,1st Semester,IT 212,Data Structures,2,"IT 113, IT 122",Not yet taken
2,BSIT,1st Semester,IT 212L,Data Structures (Lab),1,"IT 113, IT 122",Not yet taken
2,BSIT,1st Semester,IT 213,Network Fundamentals,2,"IT 131, IT 123",Not yet taken
2,BSIT,1st Semester,IT 213L,Network Fundamentals (Lab),1,"IT 131, IT 123",Not yet taken
2,BSIT,1st Semester,GSTS,Science Technology and Society,3,,Not yet taken
2,BSIT,1st Semester,GENTREP,The Entrepreneurial Mind,3,,Not yet taken
