YearLevel,Course,CourseCode,CourseTitle,Units,Prerequisite,Grade
1,BSIT,CFE 101,"God’s Journey with His People",3.0,"",Not yet taken
1,BSCS,CFE 101,"God's Journey with His People",3.0,"",Not yet taken
1,BSIT,CFE 102,"Christian Morality in Our Times",3.0,"",Not yet taken
1,BSCS,CFE 102,"Christian Morality in Our Times",3.0,"",Not yet taken
1,BSCS,CS 111,"Introduction to Computing",2.0,"",Not yet taken
1,BSCS,CS 111L,"Introduction to Computing (Lab)",1.0,"",Not yet taken
1,BSCS,CS 112,"Computer Programming 1",2.0,"",Not yet taken
1,BSCS,CS 112L,"Computer Programming 1 (Lab)",1.0,"",Not yet taken
1,BSCS,CS 113,"Discrete Structures",3.0,"",Not yet taken
1,BSCS,CS 121,"Digital Logic Design",3.0,"CS 111",Not yet taken
1,BSCS,CS 122,"Computer Programming 2",2.0,"CS 112",Not yet taken
1,BSCS,CS 122L,"Computer Programming 2 (Lab)",1.0,"CS 112",Not yet taken
1,BSCS,CS 123,"Architecture and Organization",2.0,"CS 112",Not yet taken
1,BSCS,CS 123L,"Architecture and Organization (Lab)",1.0,"CS 112",Not yet taken
1,BSCS,CS 131,"Software Modeling and Analysis",3.0,"CS 111",Not yet taken
1,BSCS,CS 132,"Mathematics for Computer Science",3.0,"",Not yet taken
1,BSIT,FIT CS,"Physical Activity Towards Health and Fitness (Combative Sports)",2.0,"",Not yet taken
1,BSCS,FIT CS,"Physical Activity Towards Health and Fitness (Combative Sports)",2.0,"",Not yet taken
1,BSIT,FIT HW,"Physical Activity Towards Health and Fitness (Health and Wellness)",2.0,"",93
1,BSCS,FIT HW,"Physical Activity Towards Health and Fitness",2.0,"",Not yet taken
1,BSIT,GART,"Art Appreciation",3.0,"",96
1,BSCS,GART,"Art Appreciation",3.0,"",Not yet taken
1,BSIT,GCWORLD,"The Contemporary World",3.0,"",Not yet taken
1,BSCS,GENVI,"Environmental Science",3.0,"",Not yet taken
1,BSIT,GHIST,"Readings in Philippine History",3.0,"",90
1,BSCS,GHIST,"Readings in Philippine History",3.0,"",Not yet taken
1,BSCS,GMAT,"Mathematics in the Modern World",3.0,"",Not yet taken
1,BSIT,GMATH,"Mathematics in the Modern World",3.0,"",Not yet taken
1,BSIT,GPCOM,"Purposive Communication",3.0,"",Not yet taken
1,BSCS,GPCOM,"Purposive Communication",3.0,"",Not yet taken
1,BSIT,GRIZAL,"The Life and Works of Rizal",3.0,"",Not yet taken
1,BSIT,GSELF,"Understanding the Self",3.0,"",94
1,BSCS,GSELF,"Understanding the Self",3.0,"",Not yet taken
1,BSIT,IT 111,"Introduction to Computing",2.0,"",86
1,BSIT,IT 111L,"Introduction to Computing (Lab)",1.0,"",86
1,BSIT,IT 112,"Computer Programming 1",2.0,"",86
1,BSIT,IT 112L,"Computer Programming 1 (Lab)",1.0,"",86
1,BSIT,IT 113,"Discrete Mathematics",3.0,"",97
1,BSIT,IT 121,"Information System Fundamentals",3.0,"IT 111",Not yet taken
1,BSIT,IT 122,"Computer Programming 2",2.0,"IT 112",Not yet taken
1,BSIT,IT 122L,"Computer Programming 2 (Lab)",1.0,"IT 112",Not yet taken
1,BSIT,IT 123,"Platform Technologies",2.0,"IT 111",Not yet taken
1,BSIT,IT 123L,"Platform Technologies (Lab)",1.0,"IT 111",Not yet taken
1,BSIT,IT 131,"Computer Architecture",2.0,"IT 112",Not yet taken
1,BSIT,IT 131L,"Computer Architecture (Lab)",1.0,"IT 112",Not yet taken
2,BSIT,CFE 103,"Catholic Foundation of Mission",3.0,"",Not yet taken
2,BSCS,CFE 103,"Catholic Foundation of Mission",3.0,"",Not yet taken
2,BSIT,CFE 104,"CICM Missionary Identity",3.0,"CFE 103",Not yet taken
2,BSCS,CFE 104,"CICM Missionary Identity",3.0,"CFE 103",Not yet taken
2,BSCS,CS 211,"Data Structures",2.0,"CS 112, CS 113",Not yet taken
2,BSCS,CS 211L,"Data Structures (Lab)",1.0,"CS 112, CS 113",Not yet taken
2,BSCS,CS 212,"Operating Systems",2.0,"CS 123",Not yet taken
2,BSCS,CS 212L,"Operating Systems (Lab)",1.0,"CS 123",Not yet taken
2,BSCS,CS 213,"Human Computer Interaction",3.0,"CS 122",Not yet taken
2,BSCS,CS 221,"Information Management",2.0,"CS 211",Not yet taken
2,BSCS,CS 221L,"Information Management (Lab)",1.0,"CS 211",Not yet taken
2,BSCS,CS 222,"Computer Programming 3",2.0,"CS 122",Not yet taken
2,BSCS,CS 222L,"Computer Programming 3 (Lab)",1.0,"CS 122",Not yet taken
2,BSCS,CS 223,"Automata and Formal Languages",3.0,"CS 132",Not yet taken
2,BSCS,CS 231,"Computer Networks",2.0,"CS 212",Not yet taken
2,BSCS,CS 231L,"Computer Networks (Lab)",1.0,"CS 212",Not yet taken
2,BSIT,CS 314,"Social and Personal Development in the ICT Workplace",3.0,"CS 111, GSELF",Not yet taken
2,BSIT,CS 315,"Technology-Assisted Presentation and Presentation",3.0,"CS 111, GPCOM",Not yet taken
2,BSIT,FIT AQ,"Physical Activity Towards Health and Fitness (Aquatics)",2.0,"",Not yet taken
2,BSCS,FIT AQ,"Physical Activity Towards Health and Fitness (Aquatics)",2.0,"",Not yet taken
2,BSIT,FIT OA,"Physical Activity Towards Health and Fitness (Outdoor and Adventure Activities)",2.0,"",Not yet taken
